id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
7	anonymity	0.2503	0.1788	1	16	53	11	2016.6364	8.8182	1.0909
15	bs	-0.1316	-0.1678	2	14	43	9	2018.3333	4.3333	0.6729
19	communication	1.066	0.1705	1	7	9	2	2012	8	0.6056
25	contextual info	-0.5392	0.6878	3	8	15	3	2019	3	1.5
35	deceptive pkts.	1.042	-0.2255	1	6	9	2	2011	23	0.9718
53	hostile env	0.8901	-0.029	1	8	10	2	2012	26	1.3662
61	iot	-0.9436	-0.2837	2	8	15	3	2019.6667	4.6667	0.6667
77	net. layers	-0.0703	-0.7522	2	6	8	2	2019	3	1.25
78	net. lifetime	-0.0162	0.6499	3	9	24	5	2017.4	7.2	1.4113
79	net. routing	-0.7472	0.3261	3	8	11	2	2018	11.5	2.75
86	phy location	-0.5196	-0.1159	2	12	45	9	2018.3333	6.1111	1.1729
92	privacy presv.	0.7342	0.2793	1	8	10	2	2014	6.5	0.75
103	security	-0.6741	-0.5175	2	9	16	3	2019.6667	4.6667	0.6667
113	sn	-0.0926	0.2137	3	15	51	10	2016.4	9.7	1.05
118	traf. vols.	-0.9584	0.068	2	8	16	3	2019	0.3333	0.1667
122	tvaa	0.5641	-0.3397	1	10	14	3	2013.6667	16.3333	1.2441
128	wsn	0.1463	-0.1429	1	16	67	14	2017	8.0714	1.0357
