"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Publisher"
"Priyadarshini P.; Pandey M.","Priyadarshini, Pooja (57204552050); Pandey, Manjusha (57192384950)","57204552050; 57192384950","Concealing of the base station's location for preserving privacy in Wireless Sensor Network by mitigating traffic patterns","2015","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923270523&doi=10.1109%2fICACCCT.2014.7019214&partnerID=40&md5=8b9f673ad72a8b0ccd21a1c5fdc24406","Institute of Electrical and Electronics Engineers Inc."
"Premananda B.S.; Sindhudhar K.L.; Mohanty M.N.","Premananda, B.S. (37091407700); Sindhudhar, K.L. (57208665198); Mohanty, Mihir Narayan (57211009173)","37091407700; 57208665198; 57211009173","An approach for privacy of wireless sensor network receiver location","2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078919708&partnerID=40&md5=63ada5de005939ba5262301548fc0a52","Institute of Advanced Scientific Research, Inc."
"Ebrahimi Y.; Younis M.","Ebrahimi, Yousef (57221820806); Younis, Mohamed (7005564685)","57221820806; 7005564685","Using deceptive packets to increase base-station anonymity in wireless sensor network","2011","41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052483567&doi=10.1109%2fIWCMC.2011.5982656&partnerID=40&md5=b68d444e5564f921cb0c79843164395b",""
"Abbas Bangash Y.; Iqbal W.; Rubab S.; Waheed Khan A.; Aman W.","Abbas Bangash, Yawar (57478603800); Iqbal, Waseem (56102434000); Rubab, Saddaf (56594904900); Waheed Khan, Abdul (56006671000); Aman, Waqas (57212405347)","57478603800; 56102434000; 56594904900; 56006671000; 57212405347","BSLPSDN: Base station location privacy via software-defined networking (SDN) in wireless sensor networks","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168277836&doi=10.1002%2fdac.5601&partnerID=40&md5=d0608a45216612a371613f550f685f5e","John Wiley and Sons Ltd"
"Zhou L.; Shan Y.; Chen X.","Zhou, Liming (57204360292); Shan, Yingzi (57204362875); Chen, Xiaopan (55671777400)","57204360292; 57204362875; 55671777400","An anonymous routing scheme for preserving location privacy in wireless sensor networks","2019","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067839082&doi=10.1109%2fITNEC.2019.8728980&partnerID=40&md5=09244606d120f5c62bf7a3f5bc59f1ee","Institute of Electrical and Electronics Engineers Inc."
"Bicakci K.; Bagci I.E.; Tavli B.","Bicakci, Kemal (6603355557); Bagci, Ibrahim Ethem (34869074700); Tavli, Bulent (55955366400)","6603355557; 34869074700; 55955366400","Lifetime bounds of wireless sensor networks preserving perfect sink unobservability","2011","25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951674791&doi=10.1109%2fLCOMM.2011.010311.101885&partnerID=40&md5=70bf6a7a075e1fa16f0b7ce84c471d27",""
"Palmieri P.; Calderoni L.; Maio D.","Palmieri, Paolo (44461890000); Calderoni, Luca (55772547900); Maio, Dario (55936746400)","44461890000; 55772547900; 55936746400","Private inter-network routing for wireless sensor networks and the Internet of Things","2017","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027023319&doi=10.1145%2f3075564.3079068&partnerID=40&md5=7256df232be672355d8f2a63dcc9e2a6","Association for Computing Machinery, Inc"
"Ward J.R.; Younis M.","Ward, Jon R. (55449075900); Younis, Mohamed (7005564685)","55449075900; 7005564685","A cross-layer defense scheme for countering traffic analysis attacks in Wireless Sensor Networks","2015","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959263808&doi=10.1109%2fMILCOM.2015.7357571&partnerID=40&md5=ab92590deaf4b7d345e104de93cfd50b","Institute of Electrical and Electronics Engineers Inc."
"Sun Y.; Li G.; Luo H.; Xing Y.; Dang S.; Hu A.","Sun, Yilun (57218148493); Li, Guyue (56230937800); Luo, Hongyi (57232201400); Xing, Yuexiu (57204392077); Dang, Shuping (55640423400); Hu, Aiqun (7202699718)","57218148493; 56230937800; 57232201400; 57204392077; 55640423400; 7202699718","Location-Invariant Radio Frequency Fingerprint for Base Station Recognition","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161520042&doi=10.1109%2fLWC.2023.3283800&partnerID=40&md5=996c664a80f4b49e19c7e47e67666fb9","Institute of Electrical and Electronics Engineers Inc."
"Aliyu F.; Umar S.; Baroudi U.; Alkharobi T.","Aliyu, Farouq (56780128000); Umar, Sani (57211794333); Baroudi, Uthman (15057644800); Alkharobi, Talal (25639534000)","56780128000; 57211794333; 15057644800; 25639534000","Optimizing Base Station’s Anonymity with PID-Controlled Fake Packets and Data Aggregation","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173777550&doi=10.1007%2fs13369-023-08316-4&partnerID=40&md5=b3b1c566d0d2a02ae7711a9547000d7a","Institute for Ionics"
"Aliyu F.; Umar S.; Alkharobi T.; Baroudi U.","Aliyu, Farouq (56780128000); Umar, Sani (57211794333); Alkharobi, Talal (25639534000); Baroudi, Uthman (15057644800)","56780128000; 57211794333; 25639534000; 15057644800","Improving Base Station Anonymity using Data Funneling and PID Controlled Fake Packets","2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081110980&doi=10.1109%2fMENACOMM46666.2019.8988581&partnerID=40&md5=b7cb8bda5969047af49a5516680dd37b","Institute of Electrical and Electronics Engineers Inc."
"Baroudi U.; Aliyu F.; Shahra E.; Naser A.A.","Baroudi, Uthman (15057644800); Aliyu, Farouq (56780128000); Shahra, Essa (57191662630); Naser, Ahmed Al (57205419520)","15057644800; 56780128000; 57191662630; 57205419520","An Anonymity Technique for Base Stations Against Traffic Volume Analysis in Wireless Sensor Networks and Internet of Things","2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077970151&doi=10.1109%2fIOTSMS48152.2019.8939235&partnerID=40&md5=bde2f3b7aec2cb7d59f8d68160444f2f","Institute of Electrical and Electronics Engineers Inc."
"George C.M.; Kumar M.","George, Chinnu Mary (55787305500); Kumar, Manoj (57205511949)","55787305500; 57205511949","Cluster based Location privacy in Wireless Sensor Networks against a universal adversary","2013","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879873089&doi=10.1109%2fICICES.2013.6508218&partnerID=40&md5=639d0c48cd9fb32f6453b25b8c4bec1c",""
"Sindhudhar K.L.; Premananda B.S.","Sindhudhar, K.L. (57208665198); Premananda, B.S. (37091407700)","57208665198; 37091407700","Development of Hybrid Algorithm for Masquerading Sink Node Location in WSN","2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065505582&doi=10.1007%2f978-981-13-5802-9_13&partnerID=40&md5=e39035695993b32d4150f355b54150fc","Springer Verlag"
"Ebrahimi Y.; Younis M.","Ebrahimi, Yousef (57221820806); Younis, Mohamed (7005564685)","57221820806; 7005564685","Averting in-situ adversaries in wireless sensor network using deceptive traffic","2011","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857205658&doi=10.1109%2fGLOCOM.2011.6134398&partnerID=40&md5=b300bccd4c9b7ba41ccf347ee8711b20",""
